Order,Date,Transect,UniqueID,tag #,Sun.Shade,Excluded.QC,Excluded.Branch.Length,Diam.Length,Branch #,Branch Diameter,Y1/Y2,Y2,Y3,Y,YM,M1,M2,M,M3,M/O,O1,O2,O,Notes,Branch was 1 meter,Excluded for ESA Talk,order of entry
165,11.19.2012,,TR117_,TR117_,lo,,,13.8-13.9mm @ 1.25m branch,TR117_1119_LO_sub1+sub2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
166,11.20.2012,,US2_TR118,US2_TR118,US,,,10-10.3 mm @ 1m branch,US2_TR118_1120,,0,0,0,0,7,0,0,40,0,0,0,0,20,,,,
167,11.20.2012,,US1_TR118,US1_TR118,US,,,8.3-8.5 mm  @ 1 m branch; 10.6-11.1 mm @ 1.25 m,US1_TR118_1120,,0,0,0,26,205,0,0,0,0,0,199,103,0,,,,
168,11.25.2012,,TR9_,TR9_,shade,X,,13.4-13.5 mm @ 1m branch,TR9_1125_SH,,9,4,24,0,0,0,0,45,0,0,0,0,105,,,,
169,11.25.2012,,TR9_,TR9_,shade,,,Redo Version,TR9_1125_SH,,7,3,16,0,0,0,0,28,0,0,0,0,97,,,,
170,11.26.2012,,TR9_,TR9_,sun,,,sub1: 11.8-12.2 mm @ 1m branch,TR9_1126_SU,,10,14,20,0,10,0,0,106,0,0,0,0,62,,,,
171,11.26.2012,,TR9_,TR9_,sun,X,,others ,TR9_1126_SU,,5,13,26,0,0,0,0,122,0,0,0,0,88,,,,
172,11.26.2012,,TR9_,TR9_,sun,,,sub2: 16.6-18.1 mm @ 1 m branch,TR9_1126_SU,,10,6,32,0,0,0,0,299,0,0,0,0,121,,,,
173,11.26.2012,,TR10_,TR10_,hi,,,9.8-10.6 mm @ 1 m branch,TR10_1026_HI,,0,0,0,49,0,0,0,0,0,0,0,0,594,,,,
174,11.26.2012,,TR10_,TR10_,lo,,,sub 1 (5.6 mm @ 1m branch),TR10_1126_LO,,0,0,0,0,0,0,0,58,0,0,0,0,66,,,,
175,11.26.2012,,TR10_,TR10_,lo,,,"sub1 @ 1.1m, 6-7.4mm",TR10_1126_LO,,0,0,0,0,0,0,0,30,0,0,0,0,41,,,,
176,11.26.2012,,TR10_,TR10_,lo,,,sub 2 (5.1-6.2 mm @ 1m branch),TR10_1126_LO,,0,0,0,0,0,0,0,43,0,0,0,0,132,,,,
177,11.26.2012,,TRUS1_TR9,TRUS1_TR9,US,,,0,TRUS1_TR9_1126,,0,0,0,0,0,0,0,21,0,0,23,6,0,,,,
178,11.27.2012,,TR500_,TR500_,sun,,,sub 1 (15.8-16.7 mm @ 1 m branch),TR500_1127_SU,,0,0,0,0,0,0,0,49,0,0,0,0,47,,,,
179,11.27.2012,,TR500_,TR500_,sun,X,,others,TR500_1127_SU,,0,0,0,0,0,0,0,14,0,0,0,0,13,,,,
180,11.27.2012,,TR500_,TR500_,sun,,,Sub1+Others: 17.3-17.9 mm @ 1.1 m branch,TR500_1127_SU,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
181,11.27.2012,,TR500_,TR500_,sun,,,Sub 2(18.7-20.3mm@1 m branch),TR500_1127_SU,,0,0,0,0,0,0,0,66,0,0,0,0,44,,,,
182,11.27.2012,,TR500_,TR500_,sun,,,Sub1+Sub2+others=23.2-23.4 mm @ 1.2 m,TR500_1127_SU,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
183,11.27.2012,,TR500_,TR500_,shade,,,sub1 (10.5-10.6 mm @ 0.95 m),TR500_1127_SH,,0,0,0,0,0,0,0,25,0,0,0,0,27,,,,
184,11.27.2012,,TR500_,TR500_,shade,,,Sub2 (10.7-10.8 mm @ 0.9 m),TR500_1127_SH,,0,0,0,0,0,0,0,22,0,0,0,0,19,,,,
185,11.27.2012,,TR500_,TR500_,shade,,,sub1+sub2 = 15.3-16.2 mm @ 1m branch,TR500_1127_SH,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
186,11.27.2012,,US1_TR500,US1_TR500,US,,,0,US1_TR500_1127,,0,0,0,0,18,0,0,75,0,0,0,0,38,,,,
187,11.27.2012,,TR502_,TR502_,MC,,,sub1 (10.4-11.2 mm @ 1 m branch),TR502_1127,,0,0,0,0,0,0,0,58,0,0,0,0,24,,,,
188,11.27.2012,,TR502_,TR502_,MC,,,Sub 2(8.5-10.4 mm @ 1m branch),TR502_1127,,0,0,0,0,0,0,0,56,0,0,0,0,18,,,,
189,11.27.2012,,TR502_,TR502_,MC,,,Sub 3 (12.1-12.9 mm @ 1m branch),TR502_1127,,0,0,0,0,0,0,0,65,0,0,0,0,11,,,,
190,11.27.2012,,TR502_,TR502_,MC,X,,others (sub<1m ),TR502_1127,,0,0,0,0,0,0,0,39,0,0,0,0,10,,,,
191,11.27.2012,,TR502_,TR502_,MC,,,sub1+sub3+others = 17.3-16.2 mm @ 1.2 m Branch,TR502_1127,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
192,11.29.2012,,US1_TR504,US1_TR504,US,,,7.6-8.9 mm @ 1m branch,US1_TR504_1129,,0,0,0,1,0,0,0,43,0,0,0,0,6,,,,
193,11.29.2012,,US1_TR504,US1_TR504,US,,,8.8-9.7 mm @ 1m branch,US1_TR504_1129,,0,0,0,1,0,0,0,23,0,0,0,0,2,,,,
194,11.29.2012,,US1_TR504,US1_TR504,US,,,11.6 -13.1 mm @ 1m branch,US1_TR504_1129,,0,0,0,5,0,0,0,39,0,0,0,0,3,,,,
195,11.29.2012,,US1_TR504,US1_TR504,US,,,Sub 1 (1m branch),US1_TR504_1129,,0,0,0,0,0,0,0,14,0,0,0,0,15,,,,
196,11.29.2012,,MC1_TR504,MC1_TR504,MC,,,11.1-12.3 mm @ 1m branch,MC1_TR504_1129,,0,0,0,0,17,0,0,72,0,0,0,0,24,,,,
197,11.29.2012,,TR504_,TR504_,sun,,,Sub1 (11.1-11.7 mm @ 1m branch),TR504_1129_SU,,0,0,0,0,0,0,0,1082,0,0,0,0,2,,,,
198,11.29.2012,,TR504_,TR504_,sun,X,,Others,TR504_1129_SU,,0,0,0,0,0,0,0,810,0,0,0,0,0,,,,
199,11.29.2012,,TR504_,TR504_,sun,X,,Others+1 m sub1=15.1-15.6 mm @ 1.2 m Branch,TR504_1129_SU,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
200,11.29.2012,,TR504_,TR504_,shade,,,Sub 1 (8.2-8.3 mm @ 1m branch),TR504_1129_SH,,0,0,0,0,0,0,0,122,0,0,0,0,114,,,,
201,11.29.2012,,TR504_,TR504_,shade,X,,Other 1,TR504_1129_SH,,0,0,0,0,0,0,0,143,0,0,0,0,6,,,,
202,11.29.2012,,TR504_,TR504_,shade,X,,Other 2,TR504_1129_SH,,0,0,0,0,0,0,0,66,0,0,0,0,64,,,,
203,11.29.2012,,TR504_,TR504_,shade,X,,"Other1+ohter2+sub1=11.0-11.9 mm @ 1,1 m Branch",TR504_1129_SH,,0,0,0,3,0,0,0,10,0,0,0,0,10,,,,
204,11.30.2012,,MC1_TR14,MC1_TR14,MC,,,sub 1 (8.8-9.4 mm @ 1m branch),MC1_TR14_1130_HI,,0,0,0,0,0,0,0,141,0,0,0,0,80,,,,
205,11.30.2012,,MC1_TR14,MC1_TR14,MC,X,,Others,MC1_TR14_1130_HI,,0,0,0,0,0,0,0,32,0,0,0,0,45,,,,
206,11.30.2012,,MC1_TR14,MC1_TR14,MC,X,,Others+Sub1 = 9.9-10.6 mm @ 1.1 m branch,MC1_TR14_1130_HI,,0,0,0,1,0,0,0,9,0,0,0,0,13,,,,
207,11.30.2012,,TR14_,TR14_,sun,,,16.2-16.3 mm @ 1m branch,TR14_1130_SU,,0,0,0,0,0,0,0,133,0,0,0,0,0,,,,
208,11.30.2012,,TR14_,TR14_,shade,,,13.8-14.1 mm @ 1 m branch,TR14_1130_SH,,0,0,0,0,0,0,0,53,0,0,0,0,0,,,,
209,11.30.2012,,TR14_,TR14_,shade,,,13.6-14.3 mm @ 1.1 m Branch,TR14_1130_SH,,0,0,0,0,0,0,0,20,0,0,0,0,0,,,,
210,11.30.2012,,TR14_,TR14_,shade,,,16.2-16.7 @ 1.2m,TR14_1130_SH,,0,0,0,0,0,0,0,29,0,0,0,0,0,,,,
211,11.30.2012,,TR14_,TR14_,shade,,,18.4-19.0 mm @ 1.5m branch,TR14_1130_SH,,0,0,0,0,0,0,0,22,0,0,0,0,0,,,,
212,11.30.2012,,TR14_,TR14_,shade,,,18.4-19.0 mm @ 1m branch,TR14_1130_SH,,0,0,0,0,0,0,0,15,0,0,0,0,0,,,,
213,11.30.2012,,TRUS1_,TRUS1_,US,,,0,TRUS1_1130,,0,0,0,0,0,0,0,145,0,0,0,0,219,,,,
214,12.04.2012,,TR11_,TR11_,sun,,,Sub 1 (15.3-15.3 mm @ 0.95 m branch),TR11_SU1,,0,0,0,0,0,0,0,1123,0,0,0,0,0,,,,
215,12.04.2012,,TR11_,TR11_,sun,,,Sub 2 (12.5-13.3 mm @ 1m branch),TR11_SU1,,0,0,0,0,0,0,0,596,0,0,0,0,4,,,,
216,12.04.2012,,TR11_,TR11_,sun,,,Sub 3 (11-11.4 mm @ 0.9 m branch),TR11_SU1,,0,0,0,0,0,0,0,228,0,0,0,0,0,,,,
217,12.04.2012,,TR11_,TR11_,sun,,,Sub 4 (8.4-8.5 mm @ 0.9 m Branch),TR11_SU1,,0,0,0,0,0,0,0,201,0,0,0,0,0,,,,
218,12.04.2012,,TR11_,TR11_,sun,X,,Other,TR11_SU1,,0,0,0,0,0,0,0,101,0,0,0,0,3,,,,
219,12.04.2012,,TR11_,TR11_,sun,X,,Sub1+Sub2+Sub3+Sub4+others=22.5-23.6 mm @ 1.4 m,TR11_SU1,,0,0,0,0,0,0,0,20,0,0,0,0,11,,,,
220,12.04.2012,,TR11_,TR11_,sun,,,Sub 1 (14.5-14.6 mm @ 1m branch),TR11_Su2_1204,,0,0,0,0,0,0,0,671,0,0,0,0,33,,,,
221,12.04.2012,,TR11_,TR11_,sun,,,Sub 2 (12.2-13.1 mm @ 1m Branch),TR11_Su2_1204,,0,0,0,0,0,0,0,303,0,0,0,0,122,,,,
222,12.04.2012,,TR11_,TR11_,sun,X,,Others,TR11_Su2_1204,,0,0,0,0,0,0,0,42,0,0,0,0,0,,,,
223,12.04.2012,,TR11_,TR11_,sun,X,,sub1+sub2+others: 20.7-22.1 mm @ 1.3 m branch,TR11_Su2_1204,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
224,12.04.2012,,TR11_,TR11_,sun,,,Sub 1 (12.8-13.2 mm @ 1m branch),TR11_SH1_1204,,0,0,0,0,0,0,0,451,0,0,0,0,36,,,,
225,12.04.2012,,TR11_,TR11_,shade,,,Sub 1 (11.5-12.2 mm @ 1m branch),TR11_SH2,,0,0,0,0,0,0,0,270,0,0,0,0,4,,,,
226,12.04.2012,,TR11_,TR11_,shade,,,Sub 2 (11.3-11.6mm @ 1 m branch),TR11_SH2,,0,0,0,0,0,0,0,169,0,0,0,0,34,,,,
227,12.04.2012,,TR11_,TR11_,shade,X,,Others,TR11_SH2,,0,0,0,0,0,0,0,84,0,0,0,0,9,,,,
228,12.04.2012,,TR11_,TR11_,shade,X,,Sub1+Sub2+Others=14.6-15.2 @ 1.4 m,TR11_SH2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
229,12.04.2012,,TR591_,TR591_,MC,,,Sub 1 (7.1-7.4 mm @ 1m branch),TR591_1204,,0,0,0,0,0,0,0,33,0,0,0,0,168,,,,
230,12.04.2012,,TR591_,TR591_,MC,,,Sub 2 (7.6-8.3 mm @ 1m branch),TR591_1204,,0,0,0,0,0,0,0,132,0,0,0,0,152,,,,
231,12.04.2012,,TR591_,TR591_,MC,X,,Sub1+Sub2=9.2-10.8mm @1.1m?,TR591_1204,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
232,12.04.2012,,TR591_,TR591_,MC,X,,Other 1,TR591_1204,,0,0,0,0,0,0,0,0,0,0,0,0,24,,,,
233,12.04.2012,,TR591_,TR591_,MC,,,Sub 3 (6.8-7.4 mm @ 1m branch),TR591_1204,,0,0,0,0,0,0,0,94,0,0,0,0,40,,,,
234,12.04.2012,,TR591_,TR591_,MC,,,Sub 4 (7.2-7.4 mm @ 0.9 m branch),TR591_1204,,0,0,0,0,0,0,0,92,0,0,0,0,65,,,,
235,12.04.2012,,TR591_,TR591_,MC,X,,Others,TR591_1204,,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,
236,12.04.2012,,TR591_,TR591_,MC,X,,"14.8-16 mm @ 1.7 m, including sub1+sub2+sub3+sub4+others; sub3+sub4: 9.5-10.4mm",TR591_1204,,0,0,0,0,0,0,0,14,0,0,0,0,0,,,,
237,12.04.2012,,TR590_,TR590_,MC,,,10.5-11.7 mm @ 1 m branch,TR590_1204_1,,0,0,0,0,0,0,0,178,0,0,0,0,0,,,,
238,12.04.2012,,TR590_,TR590_,MC,,,Sub 1 (10.9-11.4 m @ 1m branch),TR590_1204_2,,0,0,0,0,0,0,0,122,0,0,0,0,0,,,,
239,12.04.2012,,TR590_,TR590_,MC,,,Sub 2 (13.9-13.4 mm @ 1m branch),TR590_1204_2,,0,0,0,0,0,0,0,187,0,0,0,0,0,,,,
240,12.04.2012,,TR590_,TR590_,MC,X,,Others,TR590_1204_2,,0,0,0,0,0,0,0,165,0,0,0,0,0,,,,
241,12.04.2012,,TR590_,TR590_,MC,X,,Sub1+sub2+others: 18-18.5 mm @ 1.4 m,TR590_1204_2,,0,0,0,0,0,0,0,15,0,0,0,0,13,,,,
242,12.04.2012,,US1_TR11,US1_TR11,US,,,Sub 1 (11.2-11.5 mm @ 1m branch),US1_TR11_1204_2,,0,0,0,0,0,0,0,37,0,0,19,7,0,,,,
243,12.04.2012,,US1_TR11,US1_TR11,US,,,Sub2 (1m branch),US1_TR11_1204_2,,0,0,0,0,0,0,0,13,0,0,10,9,0,,,,
244,12.04.2012,,US1_TR11,US1_TR11,US,,,sub1+sub2: 12.2-13.1 mm @ 1.2 m branch,US1_TR11_1204_2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
245,12.04.2012,,US1_TR11,US1_TR11,US,,,0,US1_TR11_1204_1,,0,0,0,0,0,0,0,21,0,0,17,12,0,,,,
246,12.05.2012,,TR500_,TR500_,sun,,,Sub 1 (12.9 -13.3 mm @ 1m branch),TR500_Su1,,0,0,0,0,0,49,14,0,0,0,0,0,7,,,,
247,12.05.2012,,TR500_,TR500_,sun,,,Sub 2 (19.4-`9.8 mm @ 1m branch),TR500_Su1,,0,0,0,0,0,88,54,0,0,0,0,0,6,,,,
248,12.05.2012,,TR500_,TR500_,sun,X,,Other A1 (9.8-10.2 mm @ 0.85 m),TR500_Su1,,0,0,0,0,0,18,7,0,0,0,0,0,5,,,,
249,12.05.2012,,TR500_,TR500_,sun,X,,Other A2 (10.4-10.8 mm @ 0.6 m),TR500_Su1,,0,0,0,0,0,25,9,0,0,0,0,0,0,,,,
250,12.05.2012,,TR500_,TR500_,sun,X,,Other B1 (12.4-12.5 mm @ 0.7m branch),TR500_Su1,,0,0,0,0,0,33,15,0,0,0,0,0,2,,,,
251,12.05.2012,,TR500_,TR500_,sun,X,,Other B2 (11.3-12.1 mm @ 0.8 m branch),TR500_Su1,,0,0,0,0,0,31,16,0,0,0,0,0,0,,,,
252,12.05.2012,,TR500_,TR500_,sun,X,,Other C (15.6 -15.9 mm # 0.9 m branch),TR500_Su1,,0,0,0,0,0,69,22,0,0,0,0,0,2,,,,
253,12.05.2012,,TR500_,TR500_,sun,X,,Total: 30.6 -31.3 mm @ 1.75 m Branch,TR500_Su1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
254,12.05.2012,,TR500_,TR500_,sun,,,Sub 1 (19.5-19.5 mm @ 1 m Branch),TR500_1205_SU2,,0,0,0,0,0,123,9,0,0,0,0,0,0,,,,
255,12.05.2012,,TR500_,TR500_,sun,,,Sub 2 (17-17.2 mm @ 1 m branch),TR500_1205_SU2,,0,0,0,0,0,75,22,0,0,0,0,0,0,,,,
256,12.05.2012,,TR500_,TR500_,sun,,,Sub 3 (20-20.5 mm @ 1m branch),TR500_1205_SU2,,0,0,0,0,0,70,38,0,0,0,0,0,0,,,,
257,12.05.2012,,TR500_,TR500_,sun,X,,Others,TR500_1205_SU2,,0,0,0,0,0,35,0,0,0,0,0,0,0,,,,
258,12.05.2012,,TR500_,TR500_,shade,,,Sub 1 (16.0 -16.4 mm @ 1m branch),TR500_1205_Sh1,,0,0,0,0,0,43,17,0,0,0,0,0,0,,,,
259,12.05.2012,,TR500_,TR500_,shade,,,Sub 2 (12.7-13.3 mm @ 1m branch),TR500_1205_Sh1,,0,0,0,0,0,12,17,0,0,0,0,0,0,,,,
260,12.05.2012,,TR500_,TR500_,shade,X,,Others ,TR500_1205_Sh1,,0,0,0,0,0,19,26,0,0,0,0,0,0,,,,
261,12.05.2012,,TR500_,TR500_,shade,X,,Sub1+Sub2+Others (20-20.5 mm @ 1.5 m ),TR500_1205_Sh1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
262,12.05.2012,,TR500_,TR500_,shade,,,Sub 1 (10.9-11.2 mm @ 1m branch),TR500_1206_SH2,,0,0,0,0,0,21,3,0,0,0,0,0,1,,,,
263,12.05.2012,,TR500_,TR500_,shade,,,Sub 2 (9.8-11.3 mm @ 1m branch),TR500_1206_SH2,,0,0,0,0,0,22,10,0,0,0,0,0,1,,,,
264,12.05.2012,,TR500_,TR500_,shade,,,Sub 3 (13.2-13.4 mm @ 1 m branch),TR500_1206_SH2,,0,0,0,0,0,27,19,0,0,0,0,0,0,,,,
265,12.05.2012,,TR500_,TR500_,shade,,,Sub 4 (11-11.9 mm @ 1m branch),TR500_1206_SH2,,0,0,0,0,0,19,9,0,0,0,0,0,2,,,,
266,12.05.2012,,TR500_,TR500_,shade,X,,Other 1,TR500_1206_SH2,,0,0,0,0,0,7,2,0,0,0,0,0,4,,,,
267,12.05.2012,,TR500_,TR500_,shade,X,,Other 2,TR500_1206_SH2,,0,0,0,0,0,21,8,0,0,0,0,0,0,,,,
268,12.05.2012,,TR500_,TR500_,shade,X,,Sub1+Sub2+Sub3+Sub4+Other1=20.8-21.8 mm @ 1.8 m ; Sub1+Sub2+Sub3+Sub4+Other1+Other2=25.4-26.5 mm @ 2.3 m,TR500_1206_SH2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
269,12.05.2012,,TR504_,TR504_,shade,,,Sub 1 (8.8-9.2 mm @ 1m branch),TR504_1205_SH1,,0,0,0,0,0,0,0,428,0,0,0,0,34,,,,
270,12.05.2012,,TR504_,TR504_,shade,,,Sub2 (1m Branch)5.2-5.5 mm @ 1m branch,TR504_1205_SH1,,0,0,0,0,0,0,0,110,0,0,0,0,13,,,,
271,12.05.2012,,TR504_,TR504_,shade,,,Other A1 (5.3-5.7mm @ 0.8 m),TR504_1205_SH1,,0,0,0,0,0,0,0,164.5,0,0,0,0,73,,,,
272,12.05.2012,,TR504_,TR504_,shade,X,,Sub1+Sub2+OtherA1 (10.3-11.0 mm @ 1.2 m),TR504_1205_SH1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
273,12.05.2012,,TR504_,TR504_,shade,,,Sub 1 (7.5-7.6 mm@ 1m branch),TR504_1204_Sh2,,0,0,0,0,0,0,0,379,0,0,0,0,12,,,,
274,12.05.2012,,TR504_,TR504_,shade,,,Sub 2 (6.2-6.8 mm @ 0.95 m ),TR504_1204_Sh2,,0,0,0,0,0,0,0,211,0,0,0,0,24,,,,
275,12.05.2012,,TR504_,TR504_,shade,,,Sub 3 (6.6-7.2 mm @ 0.9 m),TR504_1204_Sh2,,0,0,0,0,0,0,0,290,0,0,0,0,0,,,,
276,12.05.2012,,TR504_,TR504_,shade,X,,Other 1,TR504_1204_Sh2,,0,0,0,0,0,0,0,214,0,0,0,0,32,,,,
277,12.05.2012,,TR504_,TR504_,shade,X,,Other 2,TR504_1204_Sh2,,0,0,0,0,0,0,0,59,0,0,0,0,58,,,,
278,12.05.2012,,TR504_,TR504_,shade,X,,sub2+sub3 =8.7-8.7 mm @ 1.1 m ; Sub1+Other1=10.3-11.1 mm @ 1.1 m ; Sub1+Other 1+Other2=11.7-12 mm @ 1.4 m;  Sub1+Sub2+Sub3+other1+Other 2=13.9 -14.1 mm @ 1.5 m,TR504_1204_Sh2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
279,12.05.2012,,TR504_,TR504_,sun,,,Sub 1 (10.3-10.3 mm @ 1m branch),TR504_Sun1_1205,,0,0,0,0,0,0,0,588,0,0,0,0,10,,,,
280,12.05.2012,,TR504_,TR504_,sun,,,Sub 2 (10.5-10.8 mm @ 1m branch),TR504_Sun1_1205,,0,0,0,0,0,0,0,700,0,0,0,0,5,,,,
281,12.05.2012,,TR504_,TR504_,sun,,,Sub 3 (17.5-17.6 mm @ 1m branch),TR504_Sun1_1205,,0,0,0,0,0,0,0,254,0,0,0,0,0,,,,
282,12.05.2012,,TR504_,TR504_,sun,X,,Other 1 ,TR504_Sun1_1205,,0,0,0,0,0,0,0,223,0,0,0,0,0,,,,
283,12.05.2012,,TR504_,TR504_,sun,X,,Other 2,TR504_Sun1_1205,,0,0,0,0,0,0,0,174,0,0,0,0,0,,,,
284,12.05.2012,,TR504_,TR504_,sun,X,,sub1+sub2+sub3+other 1 +other2 (27-27.5 mm @1.5 m ),TR504_Sun1_1205,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
285,12.05.2012,,TR504_,TR504_,sun,,,Sub 1 (11.1-11.6 mm @ 1m branch),TR504_1204_SU2,,0,0,0,0,0,0,0,684,0,0,0,0,0,,,,
286,12.05.2012,,TR504_,TR504_,sun,,,Sub 2 (11-11.7 mm @ 1m branch),TR504_1204_SU2,,0,0,0,0,0,0,0,822,0,0,0,0,0,,,,
287,12.05.2012,,TR504_,TR504_,sun,X,,Other,TR504_1204_SU2,,0,0,0,0,0,0,0,140,0,0,0,0,0,,,,
288,12.05.2012,,TR504_,TR504_,sun,X,,sub1+sub2+other (24.7-26.3 mm @ 1.45m ),TR504_1204_SU2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
289,12.06.2012,,TR14_,TR14_,sun,,,Sub 1 (22.8-22.9 mm @ 1m  branch),TR14_1206_SU1,,0,0,0,0,0,0,0,293,0,0,0,0,0,,,,
290,12.06.2012,,TR14_,TR14_,sun,,,Sub 2 (17.3-17.7 mm @ 0.95 m),TR14_1206_SU1,,0,0,0,0,0,0,0,65,0,0,0,0,0,,,,
291,12.06.2012,,TR14_,TR14_,sun,X,,"29.3-29.7 mm @ 1.2 m, including sub1+sub2",TR14_1206_SU1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
292,12.06.2012,,TR14_,TR14_,sun,,,Sub 1 (22.9-23.4 mm @ 1m branch),TR14_1206_SU2,,0,0,0,0,0,0,0,348,0,0,0,0,0,,,,
293,12.06.2012,,TR14_,TR14_,sun,,,Sub 2 (20.2-20.3 mm @ 1m branch),TR14_1206_SU2,,0,0,0,0,0,0,0,136,0,0,0,0,0,,,,
294,12.06.2012,,TR14_,TR14_,sun,X,,Others,TR14_1206_SU2,,0,0,0,0,0,0,0,16,0,0,0,0,0,,,,
295,12.06.2012,,TR14_,TR14_,sun,X,,sub1+sub2+others (27.9-28 mm @ 1.2 m branch),TR14_1206_SU2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
296,12.06.2012,,TR14_,TR14_,shade,,,Sub 1 (15.1-15.8 mm @ 1m branch),TR14_1206_SH1,,0,0,0,0,0,0,0,215,0,0,0,0,0,,,,
297,12.06.2012,,TR14_,TR14_,shade,,,Sub 2 (14.5 -14.6 mm @ 1m branch),TR14_1206_SH1,,0,0,0,0,0,0,0,74,0,0,0,0,0,,,,
298,12.06.2012,,TR14_,TR14_,shade,,,Sub 1 (13.3-13.4 mm @ 1m branch),TR14_1206_SH2,,0,0,0,0,0,0,0,68,0,0,0,0,0,,,,
299,12.06.2012,,TR14_,TR14_,shade,,,Sub 2 (11.5-11.7 mm @ 0.8 m branch),TR14_1206_SH2,,0,0,0,0,0,0,0,85,0,0,0,0,0,,,,
300,12.06.2012,,TR14_,TR14_,shade,,,Sub 3 (11.7mm @ 0.8 m branch),TR14_1206_SH2,,0,0,0,0,0,0,0,47,0,0,0,0,0,,,,
301,12.06.2012,,TR14_,TR14_,shade,X,,Sub1 + sub2 (16.3-16.4 mm @ 1.2 m branch),TR14_1206_SH2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
302,08.25.2013,,TR500_,TR500_,shade,,,"13.9, 14.7",TR500_08.25.2013_SH,,1,10,16,0,4,13,0,0,0,0,0,0,13,,,,
303,08.25.2013,,TR500_,TR500_,sun,,,"15.8, 16.9",TR500_08.25.2013_SU,,4,10,11,0,5,46,0,0,0,0,0,0,25,,,,
304,09.03.2013,,TR232_,TR232_,lo,,,"10.3, 10.5",TR232_11.03.2013_SH1,,57,84,0,0,0,0,0,0,0,0,0,0,49,,,,
305,09.03.2013,,TR232_,TR232_,lo,,,"9, 9.2",TR232_11.03.2013_SH2,,63,50,0,0,0,0,0,0,0,0,0,0,34,,,,
306,09.03.2013,,TR232_,TR232_,hi,,,"9.3, 9.4",TR232_11.03.2013_HI,,70,119,0,0,0,0,0,0,0,0,6,6,0,,,,
307,09.14.2013,,TR232_,TR232_,hi,,,"11.8, 13.2",TR232_11.14.2013_HI,,0,0,169,0,0,0,0,0,0,0,14,1,0,,,,
308,09.19.2013,,TR9_,TR9_,shade,,,"10.6, 11.4",TR9_09.19.2013_SH,,17,21,14,0,7,0,0,0,0,0,0,0,51,,,,
309,09.19.2013,,TR9_,TR9_,sun,,,"18.2, 19.3",TR9_09.19.2013_SU,,57,7,3,0,0,0,0,0,0,0,0,0,331,,,,
310,09.21.2013,,TR117_,TR117_,lo,,,"11.9, 12.5",TR117_09.21.2013_lo,,5,1,1,10,3,0,0,63,0,0,0,0,9,,,,
311,09.21.2013,,TR117_,TR117_,hi,,,"10.7, 11.7",TR117_09.21.2013_hi,,2,1,0,8,0,0,0,117,0,0,0,0,35,,,,
312,09.22.2013,,TR232_,TR232_,MC,,,"9.4, 9.8",TR232_11.22.2013_dpld,,0,0,0,0,117,0,0,0,0,0,0,0,8,,,,
313,09.22.2013,,TR232_,TR232_,MC,,,"7.5, 8.4 @0.95m",TR232_11.22.2013_ecophys,,0,0,0,0,74,0,0,0,0,0,0,0,1,,,,
314,09.22.2013,,TR118_,TR118_,shade,,,"13.6, 13.8",TR118_09.22.2013_SH,,0,0,0,0,0,0,0,89,0,0,0,0,123,,,,
315,09.22.2013,,TR118_,TR118_,sun,,,"13.8, 13.9",TR118_09.22.2013_SU,,0,0,0,0,0,0,0,62,0,0,0,0,132,,,,
316,09.26.2013,,TR500_,TR500_,shade,,,"12.3, 12.6",TR500_09.26.2013_SH1.1,,4,4,5,0,0,0,0,11,0,0,0,0,35,,,,
317,09.26.2013,,TR500_,TR500_,shade,,,"13.5, 13.8",TR500_09.26.2013_SH1.2,,0,0,3,0,0,0,0,11,0,0,0,0,14,,,,
318,09.26.2013,,TR500_,TR500_,sun,,,"20.1, 20.4",TR500_09.26.2013_SU1,,9,0,58,0,0,0,0,74,0,0,0,0,0,,,,
319,09.26.2013,,TR500_,TR500_,sun,,,"14.9, 16",TR500_09.26.2013_SU2,,5,0,27,0,0,0,0,27,0,0,0,0,0,,,,
320,11.13.2013,,TR11_,TR11_,shade,,,"11.05, 11.45",TR11_11.13.2013_SH1,,0,0,0,0,40,0,0,246,0,0,0,0,51,,,,
